name,office,party,state,district
GREENE CLIFFORD MARK,H,DEMOCRATIC PARTY,AK,0
CRAWFORD HARRY T JR,H,DEMOCRATIC PARTY,AK,0
COX JOHN R.,H,REPUBLICAN PARTY,AK,0
"PARNELL KEVIN ""PAT""",H,DEMOCRATIC PARTY,AK,1
DEVENS JOHN S,H,DEMOCRATIC PARTY,AK,0
FISHER SHELDON ALLRED,H,REPUBLICAN PARTY,AK,0
BOZEMAN MARTHA RENEE,H,UNKNOWN,AL,7
GOUNARES PETER HUNTER,H,REPUBLICAN PARTY,AL,1
WALTER DAVID MARSH,H,CONSTITUTION PARTY,AL,1
CARL JERRY LEE JR,H,REPUBLICAN PARTY,AL,1
LAMBERT DOUGLAS WESTLEY III,H,REPUBLICAN PARTY,AL,1
PRINGLE CHRISTOPHER PAUL,H,REPUBLICAN PARTY,AL,1
HIGHTOWER BILL,H,REPUBLICAN PARTY,AL,1
AVERHART JAMES,H,DEMOCRATIC PARTY,AL,2
GARDNER KIANI A,H,DEMOCRATIC PARTY,AL,1
CASTORANI JOHN,H,REPUBLICAN PARTY,AL,1
COLLINS FREDERICK G. RICK',H,DEMOCRATIC PARTY,AL,1
BAGGIANO FAYE S,H,DEMOCRATIC PARTY,AL,2
MCGAHAN WALLACE BYRON JR,H,LIBERTARIAN PARTY,AL,2
ROBY MARTHA,H,REPUBLICAN PARTY,AL,2
BARBER RICK JOE,H,REPUBLICAN PARTY,AL,2
BELL STEPHANIE WOLFE,H,REPUBLICAN PARTY,AL,2
DISMUKES WILL,H,REPUBLICAN PARTY,AL,2
COLEMAN JEFF,H,REPUBLICAN PARTY,AL,2
KING TROY,H,REPUBLICAN PARTY,AL,2
BROWN THOMAS WILLIAM JR.,H,REPUBLICAN PARTY,AL,2
TAYLOR JESSICA,H,REPUBLICAN PARTY,AL,2
HASDORFF TERRI,H,REPUBLICAN PARTY,AL,2
HARVEY-HALL PHYLLIS,H,DEMOCRATIC PARTY,AL,2
BROWDER JOHN GLEN,H,DEMOCRATIC PARTY,AL,3
ROBBINS RAY F II,H,REPUBLICAN PARTY,AL,3
RICE JOHN,H,REPUBLICAN PARTY,AL,3
ADAMS CHARLES H,H,DEMOCRATIC PARTY,AL,3
JAMES MICHAEL K,H,REPUBLICAN PARTY,AL,3
DIAL GERALD OSCAR,H,DEMOCRATIC PARTY,AL,3
HOLMES DONALD G,H,DEMOCRATIC PARTY,AL,3
PREUITT JAMES E,H,DEMOCRATIC PARTY,AL,3
EVANS CHARLES RAY,H,UNKNOWN,AL,3
SLEDGE ROLAND DONALD,H,REPUBLICAN PARTY,AL,3
SEGREST STEPHEN GRAHAM,H,DEMOCRATIC PARTY,AL,3
FOLSOM MARSHA GUTHRIE,H,DEMOCRATIC PARTY,AL,4
ASQUITH JAMES EDWARD,H,REPUBLICAN PARTY,AL,5
"CRAMER ROBERT E ""BUD"" JR",H,DEMOCRATIC PARTY,AL,5
FROST JAMES EDDIE,H,DEMOCRATIC PARTY,AL,5
GREER BAYLESS LYNN,H,DEMOCRATIC PARTY,AL,5
TERRY GARLAND DOUGLAS,H,DEMOCRATIC PARTY,AL,5
PRATT EVELYN,H,DEMOCRATIC PARTY,AL,5
MCDONALD ALBERT CLYDE,H,REPUBLICAN PARTY,AL,5
WELLS ANNIE BULLARD,H,REPUBLICAN PARTY,AL,5
WOOD DAVID ANDREW,H,DEMOCRATIC PARTY,AL,5
SPEARS WILLIAM EARL,H,DEMOCRATIC PARTY,AL,5
PHILLIP LESTER S,H,REPUBLICAN PARTY,AL,5
BROOKS MO,H,REPUBLICAN PARTY,AL,5
HOWIE MITCHELL JOHN,H,DEMOCRATIC PARTY,AL,5
SHEPARD TAZEWELL,H,DEMOCRATIC PARTY,AL,5
RABY STEPHEN WALKER,H,DEMOCRATIC PARTY,AL,5
LEWIS CHRIS,H,REPUBLICAN PARTY,AL,5
COOKE STANLEY KYLE,H,REPUBLICAN PARTY,AL,6
BARKER MICHAEL DEAN,H,REPUBLICAN PARTY,AL,7
DAVIS ARTUR GENESTRE,H,DEMOCRATIC PARTY,AL,7
MARTIN ED,H,REPUBLICAN PARTY,AL,7
SEWELL TERRI A.,H,DEMOCRATIC PARTY,AL,7
HILLIARD EARL FREDERICK JR,H,DEMOCRATIC PARTY,AL,7
SMOOT SHEILA,H,DEMOCRATIC PARTY,AL,7
PERKINS JAMES JR,H,DEMOCRATIC PARTY,AL,7
MOKOLO PATRICIA EVANS,H,DEMOCRATIC PARTY,AL,7
WALLER MICHELE,H,REPUBLICAN PARTY,AL,7
CHAMBERLAIN DON,H,REPUBLICAN PARTY,AL,7
SALTER CHRIS,H,REPUBLICAN PARTY,AL,7
GIBSON MICHAEL LEE,H,DEMOCRATIC PARTY,AR,1
HAYES TERRY OWEN,H,REPUBLICAN PARTY,AR,1
SUTFIN JASON ERIC,H,REPUBLICAN PARTY,AR,1
MYSHKA SUSAN J,H,REPUBLICAN PARTY,AR,1
CRAWFORD ERIC ALAN RICK,H,REPUBLICAN PARTY,AR,1
CAUSEY CHAD,H,DEMOCRATIC PARTY,AR,1
WOOLRIDGE TYMOTHE (TIM) LYNN,H,DEMOCRATIC PARTY,AR,1
SMITH PRINCELLA D,H,REPUBLICAN PARTY,AR,1
COOK DAVID RAY,H,DEMOCRATIC PARTY,AR,1
BRYLES STEVE MARK,H,DEMOCRATIC PARTY,AR,1
GREEN TERRY GLENN,H,DEMOCRATIC PARTY,AR,1
PONDER BEN,H,DEMOCRATIC PARTY,AR,1
FULLER RON,H,REPUBLICAN PARTY,AR,2
"KEET JAMES HOLLAND III ""JIM KEET""",H,REPUBLICAN PARTY,AR,2
MARTIN ROD D,H,REPUBLICAN PARTY,AR,2
THOMAS ROBERT GRANT,H,REPUBLICAN PARTY,AR,2
MEEKS DAVID MARK EMERSON,H,REPUBLICAN PARTY,AR,2
GRIFFIN JOHN TIMOTHY,H,REPUBLICAN PARTY,AR,2
WALLACE SCOTT,H,REPUBLICAN PARTY,AR,2
WILLS ROBERT DALE JR,H,DEMOCRATIC PARTY,AR,2
ELLIOTT JOYCE ANN,H,DEMOCRATIC PARTY,AR,2
ADAMS JOHN,H,DEMOCRATIC PARTY,AR,2
BOLING DAVID ALAN,H,DEMOCRATIC PARTY,AR,2
KENNEDY PATRICK,H,DEMOCRATIC PARTY,AR,2
REDMOND RAYMOND DALLAS JR.,H,DEMOCRATIC PARTY,AR,4
ELLIOTT JOYCE ANN SENATOR,H,DEMOCRATIC PARTY,AR,2
IVY DANNY CHRIS,H,REPUBLICAN PARTY,AR,3
WHITAKER DAVID JEFFREY,H,DEMOCRATIC PARTY,AR,3
MADDOX KURT E,H,REPUBLICAN PARTY,AR,3
WOMACK STEPHEN A THE HON,H,REPUBLICAN PARTY,AR,3
BLEDSOE CECILE H,H,REPUBLICAN PARTY,AR,3
MOORE MIKE C,H,REPUBLICAN PARTY,AR,3
LOWRY STEVE MR.,H,REPUBLICAN PARTY,AR,3
MATAYO DOUG,H,REPUBLICAN PARTY,AR,3
WILLIAMS CELESTE SARENE,H,DEMOCRATIC PARTY,AR,3
ROOD ROY ELMER,H,REPUBLICAN PARTY,AR,4
ROSS MICHAEL AVERY,H,DEMOCRATIC PARTY,AR,4
HARRIS BRUCE C,H,DEMOCRATIC PARTY,AR,4
GRAHAM CECIL DEWAYNE,H,DEMOCRATIC PARTY,AR,4
GALLAS GLENN EDWARD,H,REPUBLICAN PARTY,AR,4
RANKIN BETH ANNE,H,REPUBLICAN PARTY,AR,4
HANSON WILLIAM MR.,H,DEMOCRATIC PARTY,AR,4
FALEOMAVAEGA ENI,H,DEMOCRATIC PARTY,AS,0
SUNIA FOFO I F CONGRESSMAN,H,DEMOCRATIC PARTY,AS,0
MULITAUAOPELE I,H,DEMOCRATIC PARTY,AS,0
TAGO ACE A,H,INDEPENDENT,AS,0
LUTU AFOA MOEGA,H,INDEPENDENT,AS,0
CRICHTON ORETA TUFAGA-MAPU,H,DEMOCRATIC PARTY,AS,0
WRZESINSKI JOHN T,H,REPUBLICAN PARTY,AZ,1
FLAKE JEFF MR.,H,REPUBLICAN PARTY,AZ,6
LIDDY THOMAS PURCELL,H,REPUBLICAN PARTY,AZ,1
DICICCIO SALVATORE A,H,REPUBLICAN PARTY,AZ,1
GOSAR PAUL DR.,H,REPUBLICAN PARTY,AZ,9
BEAUCHAMP BRADLEY DON,H,REPUBLICAN PARTY,AZ,1
BOWERS RUSSELL WESLEY,H,REPUBLICAN PARTY,AZ,1
MEHTA STEVE,H,REPUBLICAN PARTY,AZ,1
JARACZEWSKI JOE,H,REPUBLICAN PARTY,AZ,1
ZALESKI THOMAS J,H,REPUBLICAN PARTY,AZ,1
JENSEN JON RICHARD,H,REPUBLICAN PARTY,AZ,1
TOBIN ANDY HON.,H,REPUBLICAN PARTY,AZ,1
PUTZOVA EVA,H,DEMOCRATIC PARTY,AZ,1
TAYLOR CHRIS,H,REPUBLICAN PARTY,AZ,1
MOORE JOHN WILLIAM,H,REPUBLICAN PARTY,AZ,1
REIDHEAD NOLAN QUINN MR,H,REPUBLICAN PARTY,AZ,1
SHAMLEY DOYEL,H,REPUBLICAN PARTY,AZ,1
"HUFF RICHARD H ""DICK""",H,REPUBLICAN PARTY,AZ,5
RODRIGUEZ ALBERT F,H,REPUBLICAN PARTY,AZ,2
BLACK CHARLES ROLAND,H,REPUBLICAN PARTY,AZ,2
WADSACK JUSTINE LOUISE,H,REPUBLICAN PARTY,AZ,2
MORGAN JOSEPH DAVID,H,REPUBLICAN PARTY,AZ,2
LIGON MIKE,H,REPUBLICAN PARTY,AZ,2
STAUTZ SHAY,H,REPUBLICAN PARTY,AZ,2
RUDEN NORAN ERIC,H,REPUBLICAN PARTY,AZ,2
QUILTER PETER,H,DEMOCRATIC PARTY,AZ,2
CROFT BOB,H,REPUBLICAN PARTY,AZ,3
HARTSTONE ROGER D,H,DEMOCRATIC PARTY,AZ,1
HULBURD JON,H,DEMOCRATIC PARTY,AZ,3
WARING JAMES F,H,REPUBLICAN PARTY,AZ,3
PARKER VERNON,H,REPUBLICAN PARTY,AZ,9
GORMAN PAMELA DIANE,H,REPUBLICAN PARTY,AZ,3
CRUMP SAMUEL TURRENTINE SR,H,REPUBLICAN PARTY,AZ,3
MORRIS PAULINA VASQUEZ,H,REPUBLICAN PARTY,AZ,3
QUAYLE BEN,H,REPUBLICAN PARTY,AZ,6
HULL LEANN,H,REPUBLICAN PARTY,AZ,3
BRANCH ROBERT ALLEN,H,REPUBLICAN PARTY,AZ,3
MOAK STEVEN CARL,H,REPUBLICAN PARTY,AZ,3
CHARLES ROBERT LINCOLN,H,REPUBLICAN PARTY,AZ,3
RONNEBECK STEVE,H,REPUBLICAN PARTY,AZ,3
WOOD DANIEL,H,REPUBLICAN PARTY,AZ,3
IVEY MARK JR,H,DEMOCRATIC PARTY,AZ,4
CONTRERAS JANET L,H,REPUBLICAN PARTY,AZ,4
PENALOSA JOSE LUIS JR,H,INDEPENDENT,AZ,7
STARKY STUART,H,DEMOCRATIC PARTY,AZ,4
ROBINSON EMILY,H,INDEPENDENT,AZ,4
WARD ANNE MARIE,H,REPUBLICAN PARTY,AZ,4
RYAN MARY JUDGE,H,DEMOCRATIC PARTY,AZ,8
CUNNINGHAM GEORGE,H,DEMOCRATIC PARTY,AZ,5
WARD JIM,H,REPUBLICAN PARTY,AZ,5
WNUCK ERIC,H,REPUBLICAN PARTY,AZ,5
SMITH JEFFREY W,H,REPUBLICAN PARTY,AZ,6
SALVINO CHRIS,H,REPUBLICAN PARTY,AZ,5
SPINKS MARK VINCENT,H,REPUBLICAN PARTY,AZ,5
RAMOS JAVIER GARCIA MR.,H,DEMOCRATIC PARTY,AZ,5
HARRIS KEVIN BRUCE,H,DEMOCRATIC PARTY,AZ,6
NELSON LAWRENCE ROBERT,H,DEMOCRATIC PARTY,AZ,6
KELSEY EASTON CLINT,H,REPUBLICAN PARTY,AZ,6
RIMMER STEPHANIE S,H,DEMOCRATIC PARTY,AZ,6
GENTLES KARL E,H,DEMOCRATIC PARTY,AZ,6
MCCLUNG RUTH CRAWFORD,H,REPUBLICAN PARTY,AZ,7
MYERS TERRY LON,H,REPUBLICAN PARTY,AZ,7
BARNETT JOSH,H,REPUBLICAN PARTY,AZ,1
KELLY JESSE,H,REPUBLICAN PARTY,AZ,2
GOSS VINCENT ANDREW,H,REPUBLICAN PARTY,AZ,8
MILLER BRIAN ALLAN,H,REPUBLICAN PARTY,AZ,8
CARLSON THOMAS A JR,H,REPUBLICAN PARTY,AZ,8
PATON JONATHAN,H,REPUBLICAN PARTY,AZ,1
MUSCATO MICHAEL ARCHANGEL,H,DEMOCRATIC PARTY,AZ,8
OLSEN ROBERT,H,DEMOCRATIC PARTY,AZ,8
TUTORA NICHOLAS,H,REPUBLICAN PARTY,AZ,9
FUENTES-WOLFE TALIA,H,DEMOCRATIC PARTY,AZ,9
BARBIERI JOHN MICHAEL,H,REPUBLICAN PARTY,CA,36
GOLD SIDNEY,H,DEMOCRATIC PARTY,CA,25
FINK MARI HAMLIN,H,REPUBLICAN PARTY,CA,53
SHAH JAYENDRA ARVINDLAL DR,H,INDEPENDENT,CA,47
PORTANTINO ANTHONY,H,DEMOCRATIC PARTY,CA,29
RIGGS FRANK D,H,REPUBLICAN PARTY,CA,1
STOEN TIMOTHY OLIVER,H,REPUBLICAN PARTY,CA,1
WIESNER LAWRENCE R,H,REPUBLICAN PARTY,CA,1
HITT KENNETH ALLAN,H,REPUBLICAN PARTY,CA,1
HANKS LOREN L,H,REPUBLICAN PARTY,CA,1
WINDREM PETER FOLGER,H,DEMOCRATIC PARTY,CA,2
BEARY LOUIS,H,LIBERTARIAN PARTY,CA,6
"RUSH ERWIN E ""BILL""",H,DEMOCRATIC PARTY,CA,2
STIGLICH PETER VINCENT,H,REPUBLICAN PARTY,CA,1
REED JAMES E,H,DEMOCRATIC PARTY,CA,1
MANGAS MONIZ RACHEL OLIVIA,H,DEMOCRATIC PARTY,CA,2
DANIEL BRUCE A,H,LIBERTARIAN PARTY,CA,14
BORMAN EUGENE ROY,H,REPUBLICAN PARTY,CA,3
BERA AMERISH,H,DEMOCRATIC PARTY,CA,6
DAVIS GARY,H,DEMOCRATIC PARTY,CA,3
SLATON BILL,H,DEMOCRATIC PARTY,CA,3
HAMILTON TAMIKA,H,REPUBLICAN PARTY,CA,6
FEUCHT J.C. SEAN,H,REPUBLICAN PARTY,CA,3
KOZIOL THOMAS L,H,REPUBLICAN PARTY,CA,4
BAUGHMAN MARK,H,REPUBLICAN PARTY,CA,4
WARNER STANLEY WESLEY (STAN),H,DEMOCRATIC PARTY,CA,4
NORBERG MARK A,H,DEMOCRATIC PARTY,CA,4
CURTIS CLINT,H,DEMOCRATIC PARTY,CA,4
BABICH MICHAEL,H,REPUBLICAN PARTY,CA,4
EMERY BENJAMIN 'BEN',H,GREEN PARTY,CA,4
FRAME SEAN COLIN,H,DEMOCRATIC PARTY,CA,4
KENNEDY BRYNNE,H,DEMOCRATIC PARTY,CA,4
BENZEL JULIANNE ELIZABETH MRS.,H,REPUBLICAN PARTY,CA,4
MCQUAID JOHN DENNIS,H,REPUBLICAN PARTY,CA,6
NICHOLS ALAN H,H,REPUBLICAN PARTY,CA,5
PAYNE KENNETH J,H,REPUBLICAN PARTY,CA,5
SMITT ERIK,H,REPUBLICAN PARTY,CA,6
TYLER JOHN WESLEY,H,DEMOCRATIC PARTY,CA,5
BOERUM BILL,H,REPUBLICAN PARTY,CA,6
JUDD JAMES O JR.,H,REPUBLICAN PARTY,CA,6
ROBERTS DANIEL ,H,REPUBLICAN PARTY,CA,2
EMARD BENJAMIN,H,DEMOCRATIC PARTY,CA,6
BISH CHRISTINE,H,REPUBLICAN PARTY,CA,6
ST CLAIR GILES,H,REPUBLICAN PARTY,CA,7
PAYTON ROGER ALLEN,H,REPUBLICAN PARTY,CA,7
HOFFMAN CHRISTOPHER,H,REPUBLICAN PARTY,CA,7
"MRAOVICH NICHOLAS (""NICK"")",H,REPUBLICAN PARTY,CA,7
TUBBS RICHARD STEPHEN II,H,REPUBLICAN PARTY,CA,3
FITZGERALD JOHN,H,REPUBLICAN PARTY,CA,11
BURDICK JEFF,H,DEMOCRATIC PARTY,CA,7
PATTERSON ROBERT BUZZ,H,REPUBLICAN PARTY,CA,7
IVY JON,H,REPUBLICAN PARTY,CA,7
DENNIS JOHN,H,REPUBLICAN PARTY,CA,12
SHIELDS SUMMER J,H,DEMOCRATIC PARTY,CA,12
BUBSER CHRISTINE,H,DEMOCRATIC PARTY,CA,8
STAAT JEREMY,H,REPUBLICAN PARTY,CA,8
OBERNOLTE JAY,H,REPUBLICAN PARTY,CA,23
CONAWAY ROBERT DEAN,H,DEMOCRATIC PARTY,CA,8
ELLARS JAMES ROBERT,H,DEMOCRATIC PARTY,CA,8
ESMUS JEFF,H,NON-PARTY,CA,8
GOMEZ BLANCA,H,DEMOCRATIC PARTY,CA,8
KENNEDY BILL,H,REPUBLICAN PARTY,CA,9
ROMERO VICTOR ARNOLD,H,REPUBLICAN PARTY,CA,9
MARTINEK WILLIAM CHARLES,H,REPUBLICAN PARTY,CA,9
AMADOR ANTONIO,H,REPUBLICAN PARTY,CA,9
KING LOWELL A,H,REPUBLICAN PARTY,CA,13
PATROSSO MARK STEVEN,H,REPUBLICAN PARTY,CA,10
KILIAN DENNIS M,H,REPUBLICAN PARTY,CA,10
HUTCHISON CLAUDE B JR,H,REPUBLICAN PARTY,CA,10
DESAULNIER MARK,H,DEMOCRATIC PARTY,CA,10
HAMPTON ADRIEL,H,DEMOCRATIC PARTY,CA,10
BUCHANAN JOAN,H,DEMOCRATIC PARTY,CA,10
WOODS ANTHONY MR,H,DEMOCRATIC PARTY,CA,10
VANGUNDY GINO,H,UNKNOWN,CA,10
HARMER DAVID,H,REPUBLICAN PARTY,CA,11
GARAMENDI JOHN,H,DEMOCRATIC PARTY,CA,8
BUNCH CHRISTOPHER N,H,REPUBLICAN PARTY,CA,10
PETERSON DAVID,H,DEMOCRATIC PARTY,CA,12
CLIFT GARY WILLIAM,H,REPUBLICAN PARTY,CA,10
LOOS MARK ALAN,H,REPUBLICAN PARTY,CA,10
TOTH JOHN RICHARD,H,REPUBLICAN PARTY,CA,10
BURKE BUDDY,H,REPUBLICAN PARTY,CA,10
DOSSETT CHARLES,H,REPUBLICAN PARTY,CA,10
SOUSA LIVENGOOD MARLA,H,REPUBLICAN PARTY,CA,10
ELLIOTT BOB,H,REPUBLICAN PARTY,CA,10
BLEVINS RYAN,H,DEMOCRATIC PARTY,CA,10
ROYER BILL,H,REPUBLICAN PARTY,CA,11
LANTOS TOM,H,DEMOCRATIC PARTY,CA,12
CANFIELD ROGER BLAINE II,H,REPUBLICAN PARTY,CA,11
KELTING LES,H,REPUBLICAN PARTY,CA,11
MAKAR BRUCE BERNARD,H,REPUBLICAN PARTY,CA,11
COREY GEORGE RAYMOND,H,DEMOCRATIC PARTY,CA,11
"HOLSINGER G. W. ""JOE""",H,DEMOCRATIC PARTY,CA,11
LANDERS CURTISS A,H,DEMOCRATIC PARTY,CA,11
SPEIER JACQUELINE,H,DEMOCRATIC PARTY,CA,11
DEL ARROZ JONATHAN MR.,H,REPUBLICAN PARTY,CA,11
GOEHRING BRAD,H,REPUBLICAN PARTY,CA,11
PEGRAM LARRY,H,REPUBLICAN PARTY,CA,11
BEADLES ROBERT,H,REPUBLICAN PARTY,CA,11
AMADOR ANTONIO C,H,REPUBLICAN PARTY,CA,9
TAKADA JEFFREY DAVID,H,REPUBLICAN PARTY,CA,11
EMKEN ELIZABETH,H,REPUBLICAN PARTY,CA,7
KERR MICHAEL ERNEST,H,GREEN PARTY,CA,11
PALMER ROBERT,H,DEMOCRATIC PARTY,CA,14
HARDING JOSEPH MICHAEL,H,WRITE-IN,CA,12
BACELAR AGATHA,H,DEMOCRATIC PARTY,CA,12
GALLAGHER TOM,H,DEMOCRATIC PARTY,CA,12
LORRAINE DEANNA,H,REPUBLICAN PARTY,CA,12
SMITH DAVID ELLIOTT,H,REPUBLICAN PARTY,CA,13
DUFFY SAUNDRA SUE,H,REPUBLICAN PARTY,CA,13
GARCIA LUIS 'COACH',H,REPUBLICAN PARTY,CA,13
JELINCIC JUSTIN,H,DEMOCRATIC PARTY,CA,13
PAREJA CHRISTOPHER JAMES,H,UNKNOWN,CA,15
PITERMAN KONSTANTINE NIKKA-SHER,H,REPUBLICAN PARTY,CA,13
CERNEY ANNE,H,DEMOCRATIC PARTY,CA,14
DOOLITTLE JOHN,H,REPUBLICAN PARTY,CA,4
TAYLOR ERIC,H,INDEPENDENT,CA,14
GOODROW CRISTOS JON,H,DEMOCRATIC PARTY,CA,14
SCHWARTZ RONALD,H,REPUBLICAN PARTY,CA,15
CONDIT GARY A,H,DEMOCRATIC PARTY,CA,18
BURRIS CLIFF,H,REPUBLICAN PARTY,CA,15
WHITESIDE CAROL LOUISE GORDON,H,REPUBLICAN PARTY,CA,15
WEIMER ROBERT JOHN,H,REPUBLICAN PARTY,CA,15
BERRYHILL CLARE L,H,REPUBLICAN PARTY,CA,15
PATTERAKIS CHRIS G,H,REPUBLICAN PARTY,CA,15
SHIMP ROY,H,LIBERTARIAN PARTY,CA,15
PEACOCK WILLIAM E,H,DEMOCRATIC PARTY,CA,15
PARKER ROBIN N,H,DEMOCRATIC PARTY,CA,15
CUNNEEN JAMES F,H,REPUBLICAN PARTY,CA,15
HONDA MIKE,H,DEMOCRATIC PARTY,CA,17
MEAD DALE CARLTON,H,REPUBLICAN PARTY,CA,15
SIMITIAN S JOSEPH,H,DEMOCRATIC PARTY,CA,16
BARICH DON,H,REPUBLICAN PARTY,CA,15
KIRKLAND SCOTT SPENCER,H,REPUBLICAN PARTY,CA,15
WAHAB AISHA,H,DEMOCRATIC PARTY,CA,15
WIECKOWSKI ROBERT,H,DEMOCRATIC PARTY,CA,15
INTAL AUSTIN,H,DEMOCRATIC PARTY,CA,15
SHARMA NISHA,H,REPUBLICAN PARTY,CA,11
REISS JERRY M,H,REPUBLICAN PARTY,CA,16
GONZALEZ EDWARD M,H,LIBERTARIAN PARTY,CA,16
WILLIAMS KIM,H,DEMOCRATIC PARTY,CA,16
COOKINGHAM KEVIN,H,REPUBLICAN PARTY,CA,16
SORIA ESMERALDA,H,DEMOCRATIC PARTY,CA,16
NAHIGIAN ARCHIE H JR,H,DEMOCRATIC PARTY,CA,17
WHITMORE DEBRA ANN,H,DEMOCRATIC PARTY,CA,17
ENGLER CLINT,H,REPUBLICAN PARTY,CA,17
GROSSMAN JOSEPH LEON,H,DEMOCRATIC PARTY,CA,17
ARNOLD GARY RICHARD,H,REPUBLICAN PARTY,CA,17
KABAT RONALD P.,H,NO PARTY AFFILIATION,CA,20
TANDON RITESH,H,DEMOCRATIC PARTY,CA,17
"TIMMERMANS MARY ""PAT""",H,DEMOCRATIC PARTY,CA,18
WILSON STEVEN R,H,REPUBLICAN PARTY,CA,18
BERRYHILL MICHAEL CLARE SR,H,REPUBLICAN PARTY,CA,18
KUMAR RISHI,H,DEMOCRATIC PARTY,CA,16
FOX DR. RICHARD B,H,REPUBLICAN PARTY,CA,18
FERGUSON ANITA PEREZ,H,DEMOCRATIC PARTY,CA,23
MCCONNELL MICHAEL WILLIAM,H,DEMOCRATIC PARTY,CA,19
LORENZ MELINDA A,H,UNKNOWN,CA,22
HERNANDEZ JOHN STEPHEN,H,DEMOCRATIC PARTY,CA,21
ROSENBERG DANIEL J,H,DEMOCRATIC PARTY,CA,19
MARSDEN LES,H,WRITE-IN,CA,19
GOODWIN LORAINE,H,DEMOCRATIC PARTY,CA,16
PATTERSON NORWOOD JAMES JR,H,REPUBLICAN PARTY,CA,19
DENHAM JEFF,H,REPUBLICAN PARTY,CA,10
WESTERLUND LARRY,H,REPUBLICAN PARTY,CA,19
TORRES IVAN,H,DEMOCRATIC PARTY,CA,19
THOMAS MICHAEL ALAN,H,DEMOCRATIC PARTY,CA,22
GREGORY RODNEY EVERETT,H,REPUBLICAN PARTY,CA,20
MILLER JOSHUA THOMAS COULSTON,H,REPUBLICAN PARTY,CA,20
VIDAK JAMES ANDREW,H,REPUBLICAN PARTY,CA,20
QUINTANAR SERAFIN,H,REPUBLICAN PARTY,CA,20
LAKE RICHARD DAVID GEORGE,H,REPUBLICAN PARTY,CA,20
GORMAN JEFF,H,REPUBLICAN PARTY,CA,19
BOLA?OS SCOW ADAM,H,DEMOCRATIC PARTY,CA,20
FREIMAN RICHARD DAVID,H,DEMOCRATIC PARTY,CA,21
O'DONNELL PIERCE HENRY,H,DEMOCRATIC PARTY,CA,22
BAYER DAVID,H,DEMOCRATIC PARTY,CA,22
ROWE ERNEST ALLEN,H,REPUBLICAN PARTY,CA,22
REZVANI SARABI AMIR DARYOUSH,H,DEMOCRATIC PARTY,CA,22
ARBALLO PHIL,H,DEMOCRATIC PARTY,CA,13
GARCIA ERIC,H,DEMOCRATIC PARTY,CA,22
CASE MICHAEL W,H,DEMOCRATIC PARTY,CA,23
GOLDBERG ALBERT MAXWELL,H,DEMOCRATIC PARTY,CA,33
SAVITCH CARY BRUCE,H,REFORM PARTY,CA,23
STOCKDALE DAVID R,H,REPUBLICAN PARTY,CA,23
DAVIDSON JOHN,H,REPUBLICAN PARTY,CA,23
WATSON THOMAS C,H,REPUBLICAN PARTY,CA,23
VANDEVENTER CLARK,H,REPUBLICAN PARTY,CA,23
HAGER JOHN VICTOR,H,INDEPENDENT,CA,23
MANGONE KIM,H,DEMOCRATIC PARTY,CA,23
ZERG JEROME,H,REPUBLICAN PARTY,CA,24
DOYLE JERRY,H,REPUBLICAN PARTY,CA,24
STERN SHAWN,H,DEMOCRATIC PARTY,CA,24
ALLISON TIMOTHY JAMES,H,DEMOCRATIC PARTY,CA,24
PANEC MARIE,H,DEMOCRATIC PARTY,CA,24
CALDWELL JAMES ANDREW,H,REPUBLICAN PARTY,CA,24
JUSTICE ALEXANDER SWIFT,H,REPUBLICAN PARTY,CA,25
VALLADARES SUZETTE MARTINEZ,H,REPUBLICAN PARTY,CA,25
GARCIA MICHAEL,H,REPUBLICAN PARTY,CA,27
UNDERWOOD JACOBS ANGELA,H,REPUBLICAN PARTY,CA,25
CRIPE MARK,H,REPUBLICAN PARTY,CA,25
PAPADOPOULOS GEORGE,H,REPUBLICAN PARTY,CA,25
SMITH CHRISTY,H,DEMOCRATIC PARTY,CA,27
LACKEY COURTNEY,H,REPUBLICAN PARTY,CA,25
VALDEZ-ORTEGA ANIBAL MR.,H,DEMOCRATIC PARTY,CA,25
LOZANO DAVID,H,REPUBLICAN PARTY,CA,25
COOPER ROBERT,H,DEMOCRATIC PARTY,CA,25
FORSCH GARY E,H,REPUBLICAN PARTY,CA,26
DAHLSON ROY,H,REPUBLICAN PARTY,CA,26
MILLER DAVID LAWRENCE,H,REPUBLICAN PARTY,CA,32
BROWN ROBERT,H,NONE,CA,26
GOLDEN CRYSTAL MARIE,H,REPUBLICAN PARTY,CA,26
SALAS ROBERT LAMBERT MR.,H,DEMOCRATIC PARTY,CA,26
KENNEDY RONDA,H,REPUBLICAN PARTY,CA,30
DUBIN GARY VICTOR,H,DEMOCRATIC PARTY,CA,27
MICHAEL ELIZABETH,H,LIBERTARIAN PARTY,CA,27
COHEN DAVID BARRETT,H,REPUBLICAN PARTY,CA,27
YEAGER HANS,H,REPUBLICAN PARTY,CA,27
REED SR. MARK STEVEN SR.,H,REPUBLICAN PARTY,CA,30
NALBANDIAN JOHNNY,H,REPUBLICAN PARTY,CA,30
DECKER MARK ALLEN,H,REPUBLICAN PARTY,CA,28
FROYD ERIK MERLIN,H,REPUBLICAN PARTY,CA,28
WORMAN JENNY,H,REPUBLICAN PARTY,CA,28
