candidate_id,committee_id,transaction_date,transaction_amount
H0TX28077,C70005988,3/21/2022 0:00,26.92
H0TX28077,C70000112,4/4/2022 0:00,11.25
H2TX23082,C70000112,4/4/2022 0:00,11.25
S2IN00208,C70000666,4/5/2022 0:00,19637
H2TX23082,C70005988,4/11/2022 0:00,136.8
H0TX28077,C70000112,4/12/2022 0:00,225
H0WV01072,C70006184,4/12/2022 0:00,2908
H0WV01072,C70000112,4/12/2022 0:00,90
H2TX23082,C70000112,4/12/2022 0:00,225
H8NJ03206,C70005988,4/13/2022 0:00,13.25
S0AR00150,C70002563,4/15/2022 0:00,3720
S0AR00150,C70002563,4/15/2022 0:00,33814.91
H8OR05107,C70002563,4/20/2022 0:00,4200
H8OR05107,C70002563,4/20/2022 0:00,33069.5
H2NC14050,C70002563,4/21/2022 0:00,3000
H2NC14050,C70002563,4/21/2022 0:00,15818.87
S6NJ00289,C70000112,4/23/2022 0:00,899.92
H0IN01150,C70000666,4/23/2022 0:00,10306.52
H0TX28077,C70000112,4/24/2022 0:00,225
H2TX23082,C70000112,4/24/2022 0:00,225
S6NH00091,C70004569,4/24/2022 0:00,3503.18
S6NH00091,C70004569,4/24/2022 0:00,1067.7
H2GA13012,C70002563,4/26/2022 0:00,30168.57
H2GA13012,C70002563,4/26/2022 0:00,3600
H2CA20094,C70002563,4/28/2022 0:00,5823.31
H2CA20094,C70002563,4/28/2022 0:00,5760
H8CA39240,C70002563,4/29/2022 0:00,4800
H6GA03113,C70002563,4/29/2022 0:00,1800
H8CA39240,C70002563,4/29/2022 0:00,29454.97
H6GA03113,C70002563,4/29/2022 0:00,14330.51
H0WV01072,C70000112,4/30/2022 0:00,90
H4PA13199,C70006127,5/2/2022 0:00,1847.75
H8PA07200,C70006127,5/2/2022 0:00,1301.09
S2PA00398,C70006127,5/2/2022 0:00,4261.13
H6PA02171,C70006127,5/2/2022 0:00,2813.02
H0TX28077,C70000112,5/3/2022 0:00,6000
